s,v,beta,omega,n,xi,delta,F_dr
0.0,10.0,0.0,0.0,0.0,0.0,0.01970280324814398,435.8571994226256
3.0,10.060300003332808,4.164263788627866e-05,0.00038687026943062027,9.326290626101598e-08,-1.4925012820032904e-05,0.016406545839646926,435.50853124620824
6.0,10.12009925779646,-3.737339094250134e-05,0.0007064750151521844,8.03337752360793e-05,7.037415043263481e-05,0.013633777452802672,435.1439930790566
9.0,10.17940235079361,-0.00021340841530544832,0.0009686348183948348,0.0001794186408834159,0.00023605385303580775,-0.013564084547737252,434.79400680841496
12.0,10.23822064310113,-0.0005005590196749238,0.0006876090853943078,0.00024743295170483263,0.0004804797337099396,-0.015079740095979087,434.41791328886524
15.0,10.296555723107618,-0.00070181614134663,0.0003804312254220545,0.0001872694039222292,0.0006437535290661077,-0.015477454762172653,434.0676037533435
18.0,10.354422605990145,-0.0008102217353217358,6.877087877314374e-05,1.3152570516315736e-05,0.0007192545090227168,-0.010670915653486325,433.7396542824351
21.0,10.411836407802463,-0.0008200158977196865,-0.0001480497121367141,-0.00025968057609741547,0.0007066030490929426,-0.028125762290341007,433.44639839281456
24.0,10.468803092800993,-0.0007882568897541788,-0.0006782196313781274,-0.0005998520530390417,0.0006340613000864326,-0.02935786605071777,433.12575960503995
27.0,10.525331054362482,-0.0006062652762419947,-0.0012232766884174551,-0.0010623713314729302,0.00041258340916979365,-0.030109707592181626,432.82845294407736
30.0,10.581433257343718,-0.00027268641034894033,-0.0017746960913414028,-0.0016433473168959527,3.9699315688526014e-05,-0.030515357612807253,432.5531798829611
33.0,10.6371219342765,0.00021126255112074362,-0.0023264098253111005,-0.002342234849908679,-0.00048479242554433225,-0.030657362925592527,432.2997981788799
36.0,10.69240890133779,0.0008426310723693388,-0.002873837265607012,-0.003162744368087959,-0.0011595677668895658,-0.030597520507382188,432.06878039764405
39.0,10.747305721231617,0.0016172318467585997,-0.0034134837277137392,-0.004113465654252027,-0.0019818781879775388,-0.030385744626771995,431.8605848981643
42.0,10.801823710692652,0.00252999514533539,-0.003942710312694562,-0.005207304820125957,-0.002947925391382006,-0.030062786105406743,431.67558196434186
45.0,10.855973930292402,0.003575242194010438,-0.004459562531491147,-0.006460982319176415,-0.00405339559729481,-0.029660396710967492,431.51402272920967
48.0,10.909767168526367,0.0047469004234790245,-0.004962612106589085,-0.007895313692879867,-0.00529365275131773,-0.02920090318781987,431.37601965372767
51.0,10.96321392335623,0.00603866749172578,-0.005450801264342891,-0.009535424179290031,-0.006663714892421602,-0.028696522935308957,431.2615359956664
54.0,11.01632438357125,0.007444127125557456,-0.005923286339113957,-0.011410400335750007,-0.008158193564399691,-0.02814762561462399,431.1703814121091
57.0,11.069108412348294,0.008956819511025258,-0.006379267987584867,-0.013552412403264822,-0.009771542721022063,-0.01231750349505671,431.1237220794308
60.0,11.121590285468782,0.01058506776358878,-0.006583320601855608,-0.01599637218701924,-0.011498326517861243,-0.0269072723277907,431.0910441725824
63.0,11.173757266077354,0.012229258210805434,-0.007004869398306434,-0.01873591523001013,-0.013269711881384223,-0.026240204823819585,431.0274405180656
66.0,11.225616381722148,0.013962327635995435,-0.0074082380658270375,-0.02185701870582222,-0.015143726205261249,-0.02562089274028433,430.9850327765917
69.0,11.277176090641664,0.01577776894394394,-0.007794076678907004,-0.02540093227083869,-0.01711459728365662,-0.02514160393238344,430.96332655731794
72.0,11.32844444245288,0.017669355585945044,-0.008164206277211612,-0.029411110517715507,-0.019176887315066827,-0.02492422578501979,430.96168749674547
75.0,11.379429031320036,0.019631428247723234,-0.008521839924710275,-0.03393337454943079,-0.021325768275815636,-0.024669362661294082,430.9804897685282
78.0,11.430137579055943,0.02165956486607399,-0.008866349627760194,-0.03901603959953642,-0.02355724917402367,-0.005679192518892982,431.02032306999945
81.0,11.48059166918016,0.02376465483983312,-0.008946069539670054,-0.04470871436703224,-0.025867141200375594,-0.007786062912576713,431.0797548165041
84.0,11.530783185918517,0.02585835403886821,-0.009056117226778673,-0.05101577338312675,-0.028185623185248428,-0.00736526646466136,431.1602887727219
87.0,11.580721248960156,0.027951279364508346,-0.009158505037824477,-0.057997160222585206,-0.030520662702244516,-0.00628078146514888,431.2608814321171
90.0,11.630413453998857,0.03004221133561337,-0.009244391337032132,-0.06570487091284924,-0.032870275919318216,-0.004831088479803054,431.38015489529016
93.0,11.679866777518436,0.032127401041671624,-0.009309570703368575,-0.07418860879478244,-0.03523019615352737,-0.0031321685832137003,431.5166050022997
96.0,11.729087685827123,0.034201996982107796,-0.009351627972043352,-0.08349652422366118,-0.03759506993168698,-0.0011987174466853217,431.66863788265147
99.0,11.778082202811637,0.036260618754077975,-0.00936844908570559,-0.09367526192837661,-0.03995887915252121,0.0010334013157094076,431.8345790395216
102.0,11.826855963711365,0.03829751136448985,-0.009357110850854307,-0.10476955384209771,-0.04231517124282023,0.003683621832914562,432.0126823684974
105.0,11.875414250380146,0.04030639504194694,-0.009313079653188162,-0.11682203950916255,-0.0446570152814783,0.026982272989238446,432.14100953647545
108.0,11.923759455241758,0.04229827784297603,-0.008922166327426598,-0.12987340534153746,-0.04697645032773427,0.030272666898457302,432.2880440916369
111.0,11.97188726783581,0.044168500352419905,-0.008490167526226333,-0.14390743032469955,-0.04918640875731449,0.033433968396651664,432.401314104108
114.0,12.019793440935109,0.0459089168379177,-0.008019481923144995,-0.15896066950978274,-0.051277340251322134,0.036495608793961826,432.4791274511567
117.0,12.067473558652468,0.04751216134221201,-0.007511806830546096,-0.17506546459558991,-0.05324050757714283,0.039480889946602406,432.5198931412574
120.0,12.114923050746487,0.048971446137477344,-0.00696824704296681,-0.19225004402394044,-0.055067969496479074,0.042404395485399135,432.52210992312
123.0,12.162137202340158,0.05028039037841029,-0.006389473251676215,-0.21053917587262574,-0.05675196540052754,0.04527331216171804,432.4843584536125
126.0,12.20911116297876,0.05143289397461475,-0.005775862865823667,-0.229953488751305,-0.05828468459172428,0.048088650249573546,432.4053003356674
129.0,12.255839957947481,0.05242305081174243,-0.005127624033748708,-0.25050847976422164,-0.05965871825374401,0.05084592052794087,432.2836787574173
132.0,12.302318498543855,0.05324509520569393,-0.0044449113046973535,-0.27221513820542353,-0.06086695213971095,0.05353547100508754,432.11832320768553
135.0,12.34854159214156,0.05389337826319303,-0.003727937644791863,-0.295080407315824,-0.06190218585136582,0.056142777946479525,431.9081561123662
138.0,12.394503955369732,0.054362372461090866,-0.00297708204593636,-0.3191065754913209,-0.06275729251353912,0.05864895082108551,431.65220210062904
141.0,12.440200229436824,0.05464670276438609,-0.002192987253140728,-0.34429113294035996,-0.06342539960482611,0.061031634464318855,431.34960030692224
144.0,12.485624996648594,0.054741201603643416,-0.0013766390467061281,-0.37062707696250907,-0.06389983897290694,0.06326634892711912,430.99961970883203
147.0,12.530772799487083,0.054640983124525706,-0.0005294184202892691,-0.3981029024336154,-0.06417419975527973,0.06532814202380498,430.60167754536275
150.0,12.575638162343846,0.05434153000293537,0.0003468786551194612,-0.42670252853753343,-0.06424247031244393,0.06719330056688037,430.1553621424402
153.0,12.620215615593537,0.05383878476120813,0.0012500534524820645,-0.45640539082108555,-0.06409914972984147,0.0688408213777598,429.66046043701124
156.0,12.66449972228645,0.0531292375536159,0.0021775421646880733,-0.48718659367556627,-0.06373931501738242,0.07025340163449627,429.1169904097934
159.0,12.708485108185988,0.052210003952044726,0.0031264682330580424,-0.5190170008865312,-0.06315865198157666,0.07141784571197773,428.5252382975139
162.0,12.75216649647276,0.05107888894085637,0.004093697486339028,-0.5518631854510401,-0.062353495515022214,0.07232493941960093,427.88580059407394
165.0,12.795538748715192,0.04973443632199734,0.005075886344878932,-0.5856873085550814,-0.061320912310306765,0.07296895117908711,427.19963011902985
168.0,12.838596913643737,0.048175965226686296,0.0060695173055486966,-0.6204470990669368,-0.060058844325877075,0.07334695244273151,426.4680834580118
171.0,12.881336283238625,0.04640359698400896,0.007070920073437718,-0.6560961536168161,-0.05856615802683043,0.0734581210285159,425.69295855422126
174.0,12.92375245375582,0.04441827606241795,0.008076279991114148,-0.6925843027630351,-0.05684254547119309,0.0733031298312116,424.87652438471196
177.0,12.965841390754589,0.04222178834822753,0.00908163739097843,-0.7298576166698751,-0.054888360563394405,0.07288366554464971,424.02154829555553
180.0,13.0075995026369,0.03981677882844237,0.010082882451025921,-0.7678578679956156,-0.05270488061449066,0.07220206920079936,423.13128072103143
183.0,13.049023723102986,0.0372067691496795,0.011075750235725088,-0.8065227380769618,-0.05029566115045191,0.07126108699234737,422.2093897624841
186.0,13.090111573814228,0.034396176048764104,0.012055819893489183,-0.8457900294918037,-0.04766691034476044,0.07006364653144016,421.25987610874546
189.0,13.130861190962449,0.031390330873934585,0.013018521162681951,-0.8856029273118687,-0.044826008959721074,0.06861267391394846,420.2869379157092
192.0,13.171271323619052,0.028195497648763248,0.013959152328210406,-0.9259107564757731,-0.04178006694262951,0.0669109846554942,419.2947683676077
195.0,13.21134130409715,0.02481888619082359,0.014872913831794,-0.966665361754016,-0.03853547933791559,0.0649611404079845,418.2873428477835
198.0,13.251071002154324,0.02126865525382118,0.01575495982990052,-1.0078161370621936,-0.035099202336932006,0.06276538549411805,417.26822474837553
201.0,13.290460745545776,0.017553904718285374,0.016600469392052952,-1.0493088737113532,-0.03147965275021348,0.06032543541462762,416.24050929179924
204.0,13.329511218321597,0.013684652938754118,0.017404734942705266,-1.0910873125031226,-0.027686148956852875,0.057642133609729716,415.2065633106533
207.0,13.368223321536217,0.009671791960279843,0.018163264428193153,-1.1330930906874002,-0.02372877789513691,0.0547151193890027,414.1682112572954
210.0,13.406598081641578,0.005527019502978446,0.01887189191443078,-1.1752654304624852,-0.019618617659270234,0.0515423742357829,413.12667728966596
213.0,13.444636552835883,0.0012627474650318108,0.01952688678259864,-1.2175416967709645,-0.015367718259666754,0.04811960884959131,412.0828815612367
216.0,13.482339778984056,-0.00310801171150418,0.02012504907114999,-1.2598581685621366,-0.010988853622377908,0.04443942372129596,411.0379857408702
219.0,13.519708861506155,-0.00757177679411951,0.020663776542049307,-1.3021504053254398,-0.006495191091389766,0.04048999526261079,409.9969777038948
222.0,13.55674570046363,-0.012114741071557586,0.02114108694362638,-1.3443530246631974,-0.0019003809735666983,0.036254653188097355,409.08650048303
225.0,13.593475455680506,-0.016722895405862127,0.021555593446079564,-1.3864001795557814,0.002781338872251797,0.031707971547030575,408.1983153260833
228.0,13.629903043182242,-0.021382177507565818,0.021906392182003378,-1.4282267062578868,0.0075356948926308615,0.026814607579265706,407.307442094416
231.0,13.66602873832207,-0.026078588177069394,0.022192885228145286,-1.4697680697976614,0.01234858382419257,0.021525658828911512,406.413186298241
234.0,13.701852732640159,-0.030798258969320456,0.022414509651919004,-1.5109600524246736,0.01720562266500463,0.015774906402550738,405.51544037405887
237.0,13.737375278043247,-0.03552746107974255,0.022570365219953665,-1.5517399834314358,0.022092269342522303,0.009475496174844267,404.6143154551731
240.0,13.772596752312996,-0.04025253612015974,0.022658730340263344,-1.5920476276175382,0.02699413175430033,0.0025198478099356155,403.7100549559801
